pmt01	0	0	1442	12.7	0	10	0.93
pmt02	0	1	1489	12.7	1	10	0.93
pmt03	0	2	1530	12.7	1	10	0.92
pmt04	0	3	1682	12.7	1	10	0.93
pmt05	0	4	1542	12.7	1	10	0.92
pmt06	0	5	1629	12.7	1	10	0.94
pmt07	0	6	1468	12.7	1	10	0.92
pmt08	0	7	1591	12.7	1	10	0.93
pmt09	0	8	1636	6.3	1	8	0.92
pmt10	0	9	1495	6.3	1	8	0.93
pmt11	0	10	1517	6.3	1	8	0.93
pmt12	0	11	1563	6.3	1	8	0.91
pmt13	0	12	1477	6.3	1	8	0.93
pmt14	0	13	1616	12.7	1	10	0.93
pmt15	0	14	1500	12.7	1	10	0.93
pmt16	0	15	1442	6.3	1	8	0.94
pmt17	0	16	1617	6.3	1	8	0.94
pmt18	0	17	1437	6.3	1	8	0.94
pmt19	0	18	1637	6.3	1	8	0.92
pmt20	0	19	1548	6.3	1	8	0.92
pmt21	4	0	1470	12.7	1	10	0.93
pmt22	0	21	1484	12.7	1	10	0.93
pmt23	0	22	1572	6.3	1	8	0.93
pmt24	0	23	1585	6.3	1	8	0.92
pmt25	8	0	1558	6.3	1	8	0.92
pmt26	8	1	1580	6.3	1	8	0.92
pmt27	8	2	1415	6.3	1	8	0.92
pmt28	8	3	1683	12.7	1	10	0.93
pmt29	8	4	1607	12.7	1	10	0.88
pmt30	8	5	1637	6.3	1	8	0.91
pmt31	8	6	1401	6.3	1	8	0.94
pmt32	8	7	1638	6.3	1	8	0.93
pmt33	8	8	1421	6.3	1	8	0.93
pmt34	8	9	1661	6.3	1	8	0.92
pmt35	8	10	1430	12.7	1	10	0.93
pmt36	8	11	1603	12.7	1	10	0.93
pmt37	8	12	1714	6.3	1	8	0.95
pmt38	8	13	1439	6.3	1	8	0.92
pmt39	8	14	1664	6.3	1	8	0.93
pmt40	8	15	1582	6.3	1	8	0.94
pmt41	8	16	1599	6.3	1	8	0.91
pmt42	8	17	1361	12.7	1	10	0.94
pmt43	8	18	1615	12.7	1	10	0.93
pmt44	8	19	1531	12.7	1	10	0.92
pmt45	8	20	1559	12.7	1	10	0.93
pmt46	4	1	1431	12.7	1	10	0.94
pmt47	8	22	1423	12.7	1	10	0.94
