0	12000
1	15000
2	13000
3	15000
4	20000
5	17000
6	12000
7	13000
8	18000
9	15000
10	7500
11	10000
12	17500
13	20000
14	16000
15	10500
16	16000
17	16000
18	15000
19	15000
20	20000
21	16000
22	15000
23	15000
24	20000
25	20000
26	15000
27	20000
28	20000
29	12500
30	15000
31	15000
32	17000
33	25000
34	14500
35	20000
36	15500
37	20000
38	17000
39	15000
40	20000
41	17000
42	15000
43	15000
44	15000
45	20000
46	12000
47	12000
48	11500
49	13500
50	10000
51	11500
52	8500
53	9500
54	7500
55	8500
56	8500
57	7500
58	15000
59	0
60	0
61	0
62	0
63	0
64	0
65	12000
66	8500
67	17000
68	10000
69	15000
70	20000
71	20000
72	10000
73	20000
74	10000
75	15000
76	11500
77	20000
78	15000
79	17000
80	20000
81	20000
82	20000
83	15000
84	15000
85	15000
86	11500
87	17000
88	15000
89	10500
90	10000
91	7500
92	8500
93	15000
94	15000
95	15000
96	17000
97	9500
98	15000
99	20000
100	15000
101	20000
102	15000
103	15000
104	15000
105	20000
106	10500
107	10000
108	11500
109	15000
110	8500
111	20000
112	15000
113	10000
114	10000
115	10000
116	7500
117	8500
118	6500
119	10000
120	10000
121	8500
122	5500
123	6500
