0	20000
1	25000
2	25000
3	25000
4	28000
5	28000
6	23000
7	25000
8	30000
9	32000
10	17000
11	17000
12	30000
13	30000
14	25000
15	23000
16	27000
17	26000
18	25000
19	25000
20	28000
21	25000
22	23000
23	25000
24	29000
25	30000
26	25000
27	29000
28	28000
29	25000
30	25000
31	24000
32	30000
33	29000
34	30000
35	30000
36	30000
37	29000
38	28000
39	27000
40	32000
41	29000
42	25000
43	25000
44	30000
45	30000
46	24000
47	25000
48	23000
49	24000
50	24000
51	24000
52	21000
53	21000
54	19000
55	19000
56	22000
57	15000
58	25000
59	0
60	0
61	0
62	0
63	0
64	0
65	23000
66	23000
67	26000
68	23000
69	24000
70	25000
71	15000
72	15000
73	15000
74	19000
75	25000
76	23000
77	30000
78	30000
79	29000
80	32000
81	30000
82	28000
83	25000
84	24000
85	29000
86	25000
87	30000
88	29000
89	24000
90	20000
91	15000
92	15000
93	25000
94	24000
95	25000
96	30000
97	21000
98	20000
99	25000
100	25000
101	28000
102	25000
103	28000
104	30000
105	28000
106	23000
107	25000
108	26000
109	25000
110	24000
111	30000
112	25000
113	20000
114	24000
115	20000
116	19000
117	18000
118	13000
119	18000
120	18000
121	19000
122	19000
123	14000
